sale_id,date,year,month,month_name,state,city,model,segment,fuel,price_lakh,customer_age_band,customer_gender,customer_occupation,payment_mode,sales_channel,csat_score,is_repeat_customer,revenue_lakh,revenue_rs,quarter,month_year
100001,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Virtus,Sedan,Petrol,13.49,18-25,Female,Salaried - Private,Loan/Finance,Online Enquiry,4,1,13.49,1349000.0,1,Jan-2024
100002,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Virtus,Sedan,Petrol,16.37,36-45,Female,Self-Employed/Business,Loan/Finance,Showroom Walk-in,2,0,16.37,1637000.0,1,Jan-2024
100003,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Taigun,SUV,Petrol,17.86,46-55,Male,Salaried - Private,Loan/Finance,Referral,4,0,17.86,1786000.0,1,Jan-2024
100004,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Taigun,SUV,Petrol,18.5,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,2,0,18.5,1850000.0,1,Jan-2024
100005,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Taigun,SUV,Petrol,17.66,36-45,Female,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Online Enquiry,4,1,17.66,1766000.0,1,Jan-2024
100006,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Tiguan,SUV,Petrol,33.37,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,33.37,3336999.9999999995,1,Jan-2024
100007,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Vento,Sedan,Petrol,14.8,36-45,Female,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,5,0,14.8,1480000.0,1,Jan-2024
100008,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Vento,Sedan,Petrol,14.35,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,1,1,14.35,1435000.0,1,Jan-2024
100009,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Polo,Hatchback,Petrol,9.05,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Online Enquiry,4,0,9.05,905000.0000000001,1,Jan-2024
100010,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Polo,Hatchback,Petrol,9.59,36-45,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,4,1,9.59,959000.0,1,Jan-2024
100011,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Polo,Hatchback,Petrol,8.57,26-35,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,5,0,8.57,857000.0,1,Jan-2024
100012,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Ameo,Sedan,Petrol,10.32,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0,10.32,1032000.0,1,Jan-2024
100013,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Ameo,Sedan,Petrol,9.16,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0,9.16,916000.0,1,Jan-2024
100014,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,16.67,65+,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,0,16.67,1667000.0000000002,1,Jan-2024
100015,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,17.66,36-45,Male,Salaried - Private,Loan/Finance,Referral,4,1,17.66,1766000.0,1,Jan-2024
100016,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,13.96,36-45,Female,Self-Employed/Business,Loan/Finance,Online Enquiry,4,1,13.96,1396000.0,1,Jan-2024
100017,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,14.76,46-55,Female,Salaried - Private,Loan/Finance,Exchange Mela,4,0,14.76,1476000.0,1,Jan-2024
