sale_id,date,year,month,month_name,state,city,model,segment,fuel,price_lakh,customer_age_band,customer_gender,customer_occupation,payment_mode,sales_channel,csat_score,is_repeat_customer
100001,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Virtus,Sedan,Petrol,13.49,18-25,Female,Salaried - Private,Loan/Finance,Online Enquiry,4,1
100002,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Virtus,Sedan,Petrol,16.37,36-45,Female,Self-Employed/Business,Loan/Finance,Showroom Walk-in,2,0
100003,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Taigun,SUV,Petrol,17.86,46-55,Male,Salaried - Private,Loan/Finance,Referral,4,0
100004,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Taigun,SUV,Petrol,18.5,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,2,0
100005,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Taigun,SUV,Petrol,17.66,36-45,Female,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Online Enquiry,4,1
100006,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Tiguan,SUV,Petrol,33.37,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100007,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Vento,Sedan,Petrol,14.8,36-45,Female,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,5,0
100008,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Vento,Sedan,Petrol,14.35,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,1,1
100009,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Polo,Hatchback,Petrol,9.05,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Online Enquiry,4,0
100010,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Polo,Hatchback,Petrol,9.59,36-45,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,4,1
100011,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Polo,Hatchback,Petrol,8.57,26-35,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,5,0
100012,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Ameo,Sedan,Petrol,10.32,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0
100013,2024-01-01,2024,1,Jan,Maharashtra,Mumbai,Ameo,Sedan,Petrol,9.16,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100014,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,16.67,65+,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,0
100015,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,17.66,36-45,Male,Salaried - Private,Loan/Finance,Referral,4,1
100016,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,13.96,36-45,Female,Self-Employed/Business,Loan/Finance,Online Enquiry,4,1
100017,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,14.76,46-55,Female,Salaried - Private,Loan/Finance,Exchange Mela,4,0
100018,2024-01-01,2024,1,Jan,Maharashtra,Pune,Virtus,Sedan,Petrol,15.15,46-55,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,4,0
100019,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.88,46-55,Female,Salaried - Private,Cash/Full Payment,Auto Expo/Event,2,0
100020,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,15.82,36-45,Male,Salaried - Private,Cash/Full Payment,Exchange Mela,5,0
100021,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,13.98,65+,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100022,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,16.09,46-55,Male,Salaried - Government,Loan/Finance,Online Enquiry,5,0
100023,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,16.89,56-65,Male,Salaried - Private,Loan/Finance,Referral,3,0
100024,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.32,36-45,Male,Self-Employed/Business,Loan/Finance,Exchange Mela,4,0
100025,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.23,56-65,Male,Salaried - Government,Loan/Finance,Exchange Mela,5,0
100026,2024-01-01,2024,1,Jan,Maharashtra,Pune,Taigun,SUV,Petrol,17.41,26-35,Male,Salaried - Government,Loan/Finance,Showroom Walk-in,3,1
100027,2024-01-01,2024,1,Jan,Maharashtra,Pune,Vento,Sedan,Petrol,13.09,26-35,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,4,0
100028,2024-01-01,2024,1,Jan,Maharashtra,Pune,Polo,Hatchback,Petrol,8.98,18-25,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,1
100029,2024-01-01,2024,1,Jan,Maharashtra,Pune,Polo,Hatchback,Petrol,9.44,36-45,Male,Salaried - Private,Loan/Finance,Exchange Mela,3,1
100030,2024-01-01,2024,1,Jan,Maharashtra,Pune,Polo,Hatchback,Petrol,9.17,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,3,0
100031,2024-01-01,2024,1,Jan,Maharashtra,Pune,Ameo,Sedan,Petrol,10.78,26-35,Male,Retired,Loan/Finance,Showroom Walk-in,4,0
100032,2024-01-01,2024,1,Jan,Maharashtra,Pune,Ameo,Sedan,Petrol,9.37,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,4,0
100033,2024-01-01,2024,1,Jan,Maharashtra,Pune,Ameo,Sedan,Petrol,9.73,26-35,Male,Salaried - Private,Cash/Full Payment,Online Enquiry,4,0
100034,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Virtus,Sedan,Petrol,16.59,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100035,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Virtus,Sedan,Petrol,15.28,36-45,Male,Salaried - Private,Cash/Full Payment,Auto Expo/Event,5,0
100036,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,18.01,56-65,Female,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,4,0
100037,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,17.13,46-55,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,0
100038,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,16.63,26-35,Male,Self-Employed/Business,Loan/Finance,Referral,4,0
100039,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Taigun,SUV,Petrol,15.64,36-45,Male,Salaried - Private,Cash/Full Payment,Showroom Walk-in,4,1
100040,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Polo,Hatchback,Petrol,8.93,46-55,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,4,0
100041,2024-01-01,2024,1,Jan,Maharashtra,Nagpur,Ameo,Sedan,Petrol,9.43,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,1
100042,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,14.53,36-45,Male,Salaried - Private,Cash/Full Payment,Referral,5,1
100043,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,17.52,56-65,Male,Self-Employed/Business,Cash/Full Payment,Auto Expo/Event,4,0
100044,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.18,36-45,Female,Salaried - Private,Loan/Finance,Showroom Walk-in,4,1
100045,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,15.5,56-65,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0
100046,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.23,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0
100047,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.41,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0
100048,2024-01-01,2024,1,Jan,Delhi,New Delhi,Virtus,Sedan,Petrol,16.31,36-45,Female,Retired,Loan/Finance,Showroom Walk-in,5,1
100049,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,15.99,46-55,Female,Professional (Doctor/CA/Lawyer),Loan/Finance,Showroom Walk-in,5,0
100050,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,18.45,26-35,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,5,0
100051,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,16.4,26-35,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,5,1
100052,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,16.85,36-45,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Auto Expo/Event,4,0
100053,2024-01-01,2024,1,Jan,Delhi,New Delhi,Taigun,SUV,Petrol,18.32,36-45,Female,Salaried - Private,Cash/Full Payment,Showroom Walk-in,3,0
100054,2024-01-01,2024,1,Jan,Delhi,New Delhi,Polo,Hatchback,Petrol,9.15,26-35,Male,Salaried - Government,Cash/Full Payment,Auto Expo/Event,4,0
100055,2024-01-01,2024,1,Jan,Delhi,New Delhi,Ameo,Sedan,Petrol,9.41,26-35,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Showroom Walk-in,5,0
100056,2024-01-01,2024,1,Jan,Delhi,New Delhi,Ameo,Sedan,Petrol,9.34,36-45,Male,Self-Employed/Business,Loan/Finance,Referral,1,0
100057,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.14,36-45,Female,Salaried - Private,Loan/Finance,Referral,3,0
100058,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,17.43,46-55,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0
100059,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,14.08,36-45,Male,Self-Employed/Business,Loan/Finance,Referral,5,0
100060,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.67,36-45,Female,Salaried - Government,Cash/Full Payment,Online Enquiry,5,1
100061,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,14.59,18-25,Male,Salaried - Government,Loan/Finance,Auto Expo/Event,5,0
100062,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,14.57,26-35,Male,Salaried - Government,Loan/Finance,Online Enquiry,5,0
100063,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,15.97,65+,Male,Professional (Doctor/CA/Lawyer),Loan/Finance,Referral,4,0
100064,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,15.07,26-35,Male,Salaried - Private,Loan/Finance,Auto Expo/Event,3,0
100065,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,15.46,36-45,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,3,0
100066,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.65,36-45,Male,Salaried - Private,Loan/Finance,Showroom Walk-in,4,0
100067,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,17.28,36-45,Male,Self-Employed/Business,Loan/Finance,Showroom Walk-in,2,0
100068,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.33,26-35,Male,Salaried - Private,Cash/Full Payment,Showroom Walk-in,5,0
100069,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Virtus,Sedan,Petrol,16.93,26-35,Female,Salaried - Private,Cash/Full Payment,Showroom Walk-in,5,0
100070,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,16.86,46-55,Female,Self-Employed/Business,Loan/Finance,Online Enquiry,3,0
100071,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,17.55,36-45,Male,Self-Employed/Business,Loan/Finance,Online Enquiry,2,0
100072,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,16.07,36-45,Male,Salaried - Private,Loan/Finance,Online Enquiry,5,0
100073,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,19.32,46-55,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Showroom Walk-in,2,1
100074,2024-01-01,2024,1,Jan,Karnataka,Bengaluru,Taigun,SUV,Petrol,16.29,26-35,Male,Professional (Doctor/CA/Lawyer),Cash/Full Payment,Showroom Walk-in,3,1
